KANAŁ;PROGRAM;DATA;DZIEŃ;PLANOWANA GODZ.;DŁUGOŚĆ;POZYCJA W BLOKU;SPOZYCJONOWANE;PŁATNE POZYCJONOWANIE;ID BLOKU;KOD KASETY;NAZWA KASETY;TYP;PAKIET;KLIENT;PRODUKT;REALNA GODZ. EMISJI;NUMER ZLECENIA;IPAN;
TTV;"przed Speedway grand prix w toruniu";2023-09-30;sob.;18:30;15;;false;false;-767264604;r00001;<BRAK KASETY>;PAKIETOWY;TTV Experience;HOCHLAND POLSKA SP. Z O.O.;ŻUŻEL HOCHLAND;00:00:00;230935160;;
TTV;"po Speedway grand prix w toruniu /1";2023-09-30;sob.;18:50;15;;false;false;-767264610;r00001;<BRAK KASETY>;PAKIETOWY;TTV Experience;HOCHLAND POLSKA SP. Z O.O.;ŻUŻEL HOCHLAND;00:00:00;230935160;;
TTV;"w Speedway grand prix w toruniu /2";2023-09-30;sob.;19:52;15;F;true;false;-767264617;r00001;<BRAK KASETY>;PAKIETOWY;TTV Experience;HOCHLAND POLSKA SP. Z O.O.;ŻUŻEL HOCHLAND;00:00:00;230935160;;
TTV;"po Speedway grand prix w toruniu /6";2023-09-30;sob.;21:44;15;;false;false;-767264628;r00001;<BRAK KASETY>;PAKIETOWY;TTV Experience;HOCHLAND POLSKA SP. Z O.O.;ŻUŻEL HOCHLAND;00:00:00;230935160;;
