KANAŁ;PROGRAM;DATA;DZIEŃ;PLANOWANA GODZ.;DŁUGOŚĆ;POZYCJA W BLOKU;SPOZYCJONOWANE;PŁATNE POZYCJONOWANIE;ID BLOKU;KOD KASETY;NAZWA KASETY;TYP;PAKIET;KLIENT;PRODUKT;REALNA GODZ. EMISJI;NUMER ZLECENIA;IPAN;
TVN 24;"przed POGODA";2023-09-01;pt.;18:41;15;;false;false;37347706;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230907461;;
TVN 24;"przed POGODA";2023-09-01;pt.;20:48;15;;false;false;37347714;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;20:47:47;230907461;;
TVN 24;"przed SZKŁO KONTAKTOWE cz2";2023-09-01;pt.;22:18;15;;false;false;37347727;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;22:19:10;230907461;;
TVN 24;"przed POGODA";2023-09-02;sob.;17:22;15;;false;false;37347874;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;17:50:07;230907461;;
TVN 24;"po POGODA";2023-09-02;sob.;18:56;15;;false;false;37347887;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;18:51:57;230907461;;
TVN 24;"przed POGODA";2023-09-02;sob.;23:44;15;;false;false;37347923;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;23:50:37;230907461;;
TVN 24;"przed FAKTY PO FAKTACH";2023-09-02;sob.;23:53;15;;false;false;37347926;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;23:59:36;230907461;;
TVN 24;"przed POGODA";2023-09-02;sob.;29:08;15;;false;false;37347953;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;29:10:48;230907461;;
TVN 24;"przed PORANEK (rozmowa, gosc, reporter) ";2023-09-03;niedz.;07:46;15;;false;false;37347977;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;07:45:04;230907461;;
TVN 24;"przed POGODA W PORANKU";2023-09-04;pon.;06:24;15;;false;false;37348113;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;06:28:03;230907461;;
TVN 24;"przed POGODA";2023-09-04;pon.;21:44;15;;false;false;37348235;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;21:47:55;230907461;;
TVN 24;"przed SZKŁO KONTAKTOWE cz3";2023-09-04;pon.;22:39;15;;false;false;37348247;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;22:44:09;230907461;;
TVN 24;"przed POGODA W PORANKU";2023-09-05;wt.;08:54;15;;false;false;37348316;r251617;HFSS Almette loteria 8 092023 almetteregular LOTERIA;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;08:57:47;230907461;;
