KANAŁ;PROGRAM;DATA;DZIEŃ;PLANOWANA GODZ.;DŁUGOŚĆ;POZYCJA W BLOKU;SPOZYCJONOWANE;PŁATNE POZYCJONOWANIE;ID BLOKU;KOD KASETY;NAZWA KASETY;TYP;PAKIET;KLIENT;PRODUKT;REALNA GODZ. EMISJI;NUMER ZLECENIA;IPAN;
TVN 24;"przed TAK JEST cz1";2023-09-01;pt.;25:43;15;;false;false;37347749;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;25:47:12;230907459;;
TVN 24;"przed NOWA MAJA W OGRODZIE ";2023-09-01;pt.;26:43;15;;false;false;37347752;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;26:49:20;230907459;;
TVN 24;"przed SZKŁO KONTAKTOWE cz2";2023-09-01;pt.;27:36;15;;false;false;37347760;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;27:40:02;230907459;;
TVN 24;"przed SZKŁO KONTAKTOWE cz3";2023-09-01;pt.;28:01;15;;false;false;37347763;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;28:08:10;230907459;;
TVN 24;"przed FAKTY PO FAKTACH";2023-09-01;pt.;29:14;15;;false;false;37347590;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;29:17:57;230907459;;
TVN 24;"przed POGODA";2023-09-02;sob.;18:49;15;;false;false;37347884;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;18:44:08;230907459;;
TVN 24;"przed POGODA";2023-09-02;sob.;25:36;15;;false;false;37347929;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;25:38:10;230907459;;
TVN 24;"przed SZKŁO KONTAKTOWE cz3";2023-09-02;sob.;28:13;15;;false;false;37347945;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;28:15:12;230907459;;
TVN 24;"przed POGODA W PORANKU";2023-09-03;niedz.;09:23;15;;false;false;37347996;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;09:30:31;230907459;;
TVN 24;"przed POGODA";2023-09-03;niedz.;18:14;15;;false;false;37348053;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;18:15:56;230907459;;
TVN 24;"przed SZKŁO KONTAKTOWE cz1";2023-09-03;niedz.;21:52;15;;false;false;37348067;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;21:53:48;230907459;;
TVN 24;"przed SZKŁO KONTAKTOWE cz2";2023-09-03;niedz.;22:18;15;;false;false;37348073;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;22:20:18;230907459;;
TVN 24;"przed DZIEŃ PO DNIU";2023-09-03;niedz.;22:55;15;;false;false;37348081;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;22:56:42;230907459;;
TVN 24;"przed POGODA";2023-09-03;niedz.;26:39;15;;false;false;37348094;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;26:25:53;230907459;;
TVN 24;"przed NOWA MAJA W OGRODZIE ";2023-09-03;niedz.;26:47;15;;false;false;37348095;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;26:34:36;230907459;;
TVN 24;"przed SZKŁO KONTAKTOWE cz3";2023-09-03;niedz.;28:06;15;;false;false;37348102;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;28:05:42;230907459;;
TVN 24;"przed CZAS DECYZJI: DEBATA";2023-09-03;niedz.;28:24;15;;false;false;37492705;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;28:47:14;230907459;;
TVN 24;"przed PORANEK (rozmowa, gosc, reporter) ";2023-09-04;pon.;09:14;15;;false;false;37348142;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;09:09:44;230907459;;
TVN 24;"przed CZAS DECYZJI";2023-09-04;pon.;09:36;15;;false;false;37348148;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;09:36:29;230907459;;
TVN 24;"przed FAKTY PO POŁUDNIU cz2";2023-09-04;pon.;16:27;15;;false;false;37348207;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;16:51:37;230907459;;
TVN 24;"przed POGODA";2023-09-04;pon.;17:51;15;;false;false;37348215;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;17:54:07;230907459;;
TVN 24;"przed POGODA";2023-09-04;pon.;20:20;15;;false;false;37348231;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;20:24:42;230907459;;
TVN 24;"przed DZIEŃ PO DNIU";2023-09-04;pon.;22:56;15;;false;false;37348252;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;PAKIETOWY;Pakiet GRP;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;22:58:30;230907459;;
