KANAŁ;PROGRAM;DATA;DZIEŃ;PLANOWANA GODZ.;DŁUGOŚĆ;POZYCJA W BLOKU;SPOZYCJONOWANE;PŁATNE POZYCJONOWANIE;WARTOŚĆ SPOTU;ID BLOKU;KOD KASETY;NAZWA KASETY;TYP;PAKIET;KLIENT;PRODUKT;REALNA GODZ. EMISJI;NUMER ZLECENIA;IPAN;
TVN;"w Dzień dobry tvn /4";2023-09-01;pt.;09:43;15;;false;false;5880,0;-767293159;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230911073;;
TVN;"w Dzień dobry tvn /4";2023-09-02;sob.;09:41;15;;false;false;9730,0;-767297977;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230911073;;
TVN;"w Ukryta prawda /4";2023-09-04;pon.;18:39;15;;false;false;21210,0;-767298424;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230911073;;
TVN;"przed Ukryta prawda";2023-09-05;wt.;12:53;15;;false;false;5250,0;-767298591;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230911073;;
TVN;"przed Uwaga!";2023-09-05;wt.;19:48;15;;false;false;34370,0;-767298650;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230911073;;
TVN;"przed Milionerzy";2023-09-07;czw.;20:49;15;;false;false;25550,0;-767299078;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230911073;;
TVN;"w Dzień dobry tvn /4";2023-09-09;sob.;09:41;15;;false;false;9730,0;-767299389;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230911073;;
TVN;"w Dzień dobry tvn /6";2023-09-09;sob.;10:44;15;;false;false;10150,0;-767299399;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230911073;;
TVN;"w Pięćdziesiąt twarzy greya /2";2023-09-09;sob.;24:33;15;;false;false;2590,0;-767299497;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230911073;;
TVN;"w Na wspólnej 21 /1";2023-09-11;pon.;20:30;15;;false;false;29820,0;-767299879;r00001;<BRAK KASETY>;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;ALMETTE DOMEK;00:00:00;230911073;;
