KANAŁ;PROGRAM;DATA;DZIEŃ;PLANOWANA GODZ.;DŁUGOŚĆ;POZYCJA W BLOKU;SPOZYCJONOWANE;PŁATNE POZYCJONOWANIE;WARTOŚĆ SPOTU;ID BLOKU;KOD KASETY;NAZWA KASETY;TYP;PAKIET;KLIENT;PRODUKT;REALNA GODZ. EMISJI;NUMER ZLECENIA;IPAN;
TVN;"przed Ukryta prawda";2023-09-01;pt.;12:30;15;;false;false;5320,0;-767293185;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Kuchenne rewolucje 15 /2";2023-09-02;sob.;07:23;15;;false;false;3850,0;-767297958;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Dzień dobry tvn /4";2023-09-02;sob.;09:41;15;;false;false;9730,0;-767297977;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Dzień dobry tvn /5";2023-09-02;sob.;10:07;15;;false;false;9870,0;-767297983;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Dzień dobry tvn /5";2023-09-04;pon.;10:11;15;;false;false;6160,0;-767298349;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Szpital /2";2023-09-04;pon.;14:40;15;;false;false;5600,0;-767298388;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Ukryta prawda /4";2023-09-04;pon.;18:39;15;;false;false;21210,0;-767298424;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Ukryta prawda /1";2023-09-05;wt.;13:10;15;;false;false;5180,0;-767298594;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"przed Fakty";2023-09-05;wt.;18:55;15;;false;false;31640,0;-767298641;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Ukryta prawda /2";2023-09-06;śr.;13:40;15;;false;false;5250,0;-767298808;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"przed Detektywi";2023-09-06;śr.;14:02;15;;false;false;5530,0;-767298811;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"przed Ten moment";2023-09-06;śr.;15:04;15;;false;false;6580,0;-767298818;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Milionerzy /1";2023-09-07;czw.;21:05;15;;false;false;29050,0;-767299080;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Dzień dobry tvn /4";2023-09-09;sob.;09:41;15;;false;false;9730,0;-767299389;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Dzień dobry tvn /5";2023-09-09;sob.;10:07;15;;false;false;9870,0;-767299395;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Pięćdziesiąt twarzy greya /1";2023-09-09;sob.;24:25;15;;false;false;2590,0;-767299495;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Ukryta prawda /1";2023-09-19;wt.;13:10;15;;false;false;5180,0;-767301484;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Ukryta prawda /3";2023-09-19;wt.;18:33;15;;false;false;21210,0;-767301528;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Dzień dobry tvn /4";2023-09-20;śr.;09:42;15;;false;false;5880,0;-767301672;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"przed Ten moment";2023-09-20;śr.;15:04;15;;false;false;6580,0;-767301715;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"przed Milionerzy";2023-09-20;śr.;20:49;15;;false;false;25550,0;-767301766;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Dzień dobry tvn /4";2023-09-21;czw.;09:42;15;;false;false;5880,0;-767301881;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Kuchenne rewolucje 15 /2";2023-09-23;sob.;07:24;15;;false;false;3850,0;-767302264;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Dzień dobry tvn /5";2023-09-23;sob.;10:07;15;;false;false;9870,0;-767302289;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"przed Nowe oblicze greya";2023-09-23;sob.;24:15;15;;false;false;3080,0;-767302385;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Dzień dobry tvn /5";2023-09-25;pon.;10:11;15;;false;false;6160,0;-767302677;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Na wspólnej 21 /1";2023-09-25;pon.;20:30;15;;false;false;29820,0;-767302767;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"przed Ukryta prawda";2023-09-26;wt.;12:54;15;;false;false;5250,0;-767302923;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"przed Fakty";2023-09-26;wt.;18:55;15;;false;false;31640,0;-767302972;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"przed Ukryta prawda";2023-09-27;śr.;12:54;15;;false;false;5250,0;-767303142;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Detektywi /2";2023-09-27;śr.;14:45;15;;false;false;6020,0;-767303155;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Dzień dobry tvn /4";2023-09-28;czw.;09:42;15;;false;false;5880,0;-767303326;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w American pie ii /2";2023-09-28;czw.;24:07;15;;false;false;5180,0;-767303440;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
TVN;"w Dzień dobry tvn /5";2023-09-30;sob.;10:07;15;;false;false;9870,0;-767303736;r247690;HFSS Hochland pajacyk 15s kwiecie 2023 hochland;CENNIKOWY;Cennikowy;HOCHLAND POLSKA SP. Z O.O.;HOCHLAND;00:00:00;230911071;;
